Location,supplier_code,part_number,sub_process step,material_name,process_type,Low,High,Unit,valid_time,source,test_result
"Ningbo, Zhejiang",97036203,044220003G,AlSi9Mn ,AlSi9Mn ,raw_material,21.079,23,/kg,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Al plate <6082>,Al plate <6082>,raw_material,28,30,/kg,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Protective cap,Protective cap,raw_material,1,1.6,/bag,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Material scrap + overhead,AlSi9Mn ,raw_material,2,4,% of metal,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Melting,AlSi9Mn ,value_add,2,3,/kg,9/2/2025,web,1.3649
"Ningbo, Zhejiang",97036203,044220003G,Casting,AlSi9Mn ,value_add,600,650,/h,9/2/2025,web,358.98
"Ningbo, Zhejiang",97036203,044220003G,Trimming,AlSi9Mn ,value_add,60,80,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Deburring,AlSi9Mn ,value_add,60,90,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Sand blasting,AlSi9Mn ,value_add,60,80,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Manual polishing,AlSi9Mn ,value_add,40,180,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Maching OP10,AlSi9Mn ,value_add,60,70,/h,9/2/2025,web,None
"Ningbo, Zhejiang",97036203,044220003G,Washing,AlSi9Mn ,value_add,40,80,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,FSW ,AlSi9Mn ,value_add,50,70,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Polishing,AlSi9Mn ,value_add,40,120,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Machining OP20,AlSi9Mn ,value_add,60,70,/h,9/2/2025,web,57.93
"Ningbo, Zhejiang",97036203,044220003G,Ultrasonic washing,AlSi9Mn ,value_add,40,55,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Before KTL visual inspection & deburring,AlSi9Mn ,value_add,40,60,/h,9/2/2025,web,77.54
"Ningbo, Zhejiang",97036203,044220003G,KTL coating,AlSi9Mn ,value_add,0.6,0.7,/cm³,9/2/2025,web,0.02361
"Ningbo, Zhejiang",97036203,044220003G,After KTL visual inspection,AlSi9Mn ,value_add,40,70,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Machining OP30,AlSi9Mn ,value_add,60,120,/h,9/2/2025,web,62.3
"Ningbo, Zhejiang",97036203,044220003G,Inner washing,AlSi9Mn ,value_add,60,55,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,outer washing,AlSi9Mn ,value_add,60,60,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Air leakage test,Nan,value_add,40,60,/h,9/2/2025,web,
"Ningbo, Zhejiang",97036203,044220003G,Helium leakage test,Nan,value_add,90,100,/h,9/2/2025,web,
